387189,387189,22.3686294119,114.1158505854,44.5551084287
387190,387190,22.3686500818,114.1159378663,5.0714530516
387191,387191,-nan,-nan,-6292741.6544055268
387192,387192,-nan,-nan,-6292741.6544055268
387193,387193,-nan,-nan,-6292741.6544055268
387194,387194,-nan,-nan,-6292741.6544055268
387195,387195,-nan,-nan,-6292741.6544055268
387196,387196,-nan,-nan,-6292741.6544055268
387197,387197,-nan,-nan,-6292741.6544055268
387198,387198,-nan,-nan,-6292741.6544055268
387199,387199,-38.4610996515,-62.8026170536,5281692.6947921906
387200,387200,-nan,-nan,-6292741.6544055268
387201,387201,-nan,-nan,-6292741.6544055268
387202,387202,-nan,-nan,-6292741.6544055268
387203,387203,-nan,-nan,-6292741.6544055268
387204,387204,-nan,-nan,-6292741.6544055268
387205,387205,-nan,-nan,-6292741.6544055268
387206,387206,-nan,-nan,-6292741.6544055268
387207,387207,-nan,-nan,-6292741.6544055268
387208,387208,22.3685085438,114.1159536020,-12.3358934754
387209,387209,22.3684349883,114.1159839384,34.9039675296
387210,387210,22.3683947568,114.1159811520,34.5899102585
387211,387211,22.3684347331,114.1159706205,41.9093459449
387212,387212,22.3684129414,114.1159753795,19.6165905690
387213,387213,22.3684500727,114.1159592750,28.3209718309
387214,387214,22.3683604225,114.1160007012,44.4548281428
387215,387215,22.3684519075,114.1159428881,45.5596107501
387216,387216,22.3684458594,114.1159892514,37.7427813242
387217,387217,22.3684431068,114.1159823849,66.8527686520
387218,387218,22.3684866878,114.1159823663,27.3636589031
387219,387219,22.3684230486,114.1159706789,41.0981534707
387220,387220,22.3684653540,114.1159186317,55.5904523203
387221,387221,22.3685082138,114.1159027589,40.4568960278
387222,387222,22.3684926251,114.1158969851,52.1253855819
387223,387223,22.3685322506,114.1158931061,21.5817410643
387224,387224,22.3685118097,114.1159448006,27.9532572856
387225,387225,22.3684874410,114.1159564467,29.7389543607
387226,387226,22.3685246436,114.1159683105,15.3884628282
387227,387227,22.3684946232,114.1159157511,-27.0247410838
387228,387228,22.3684726216,114.1159370827,-10.5322232478
387229,387229,22.3685196716,114.1158940766,-13.4334028305
387230,387230,22.3686037247,114.1159084059,-2.3902180811
387231,387231,22.3684904462,114.1159325237,35.2442798976
387232,387232,22.3685042925,114.1159353611,21.5091242703
387233,387233,22.3685141500,114.1159240430,-4.0286504193
387234,387234,22.3685212012,114.1159025371,11.8105922118
387235,387235,22.3685190268,114.1158754367,-1.1544015693
387236,387236,22.3685258610,114.1158883340,-19.5914043198
387237,387237,22.3684730920,114.1158665074,8.5807845315
387238,387238,22.3685010695,114.1157511318,-24.7456248552
387239,387239,22.3684913855,114.1158730982,3.8974746967
387240,387240,22.3685471269,114.1159239006,1.8106351990
387241,387241,22.3685238609,114.1158434555,1.4894087265
387242,387242,22.3685326239,114.1158959762,14.8603748695
387243,387243,22.3684988296,114.1158433079,5.7808704358
387244,387244,22.3684537433,114.1157701323,6.5190743151
387245,387245,22.3684628163,114.1158614717,17.9183185432
387246,387246,22.3685187027,114.1158593732,3.7950682156
387247,387247,22.3685096018,114.1159177822,29.2521037677
387248,387248,22.3684861462,114.1159312116,42.9412076467
387249,387249,22.3684558131,114.1159219016,13.4213250527
387250,387250,22.3684469377,114.1158883569,0.5186952074
387251,387251,22.3685219171,114.1159480201,-30.5001044733
387252,387252,22.3685503149,114.1159692395,20.4286700972
387253,387253,22.3685857749,114.1159129093,-13.4011445295
387254,387254,22.3685176033,114.1159584809,4.8236249748
387255,387255,22.3684922198,114.1159181394,14.3390338493
387256,387256,22.3684633685,114.1159240909,15.4582534535
387257,387257,22.3684776268,114.1159103902,18.5689857030
387258,387258,-nan,-nan,-nan
387259,387259,22.3684972677,114.1159524632,40.1808266730
387260,387260,22.3684834480,114.1158272812,14.6606132774
387261,387261,22.3685439596,114.1159514231,1.0148473036
387262,387262,22.3684307940,114.1159541565,21.2211029610
387263,387263,22.3684412171,114.1159377167,15.7138579555
387264,387264,22.3684419924,114.1159073155,19.8738826030
387265,387265,22.3684389323,114.1159248287,25.9097233767
387266,387266,22.3684389462,114.1159139738,33.9681666026
387267,387267,22.3684921874,114.1159303221,13.2085578795
387268,387268,22.3684585974,114.1159436084,26.0137757800
387269,387269,22.3684613399,114.1159666713,26.8922380986
387270,387270,22.3685114276,114.1159777901,14.3974137539
387271,387271,22.3684480588,114.1159177580,38.9885849772
387272,387272,22.3684261758,114.1158861317,30.7401271658
387273,387273,22.3684469802,114.1158842802,30.2556534438
387274,387274,22.3685612692,114.1158614907,11.7423997716
387275,387275,22.3684930276,114.1158519975,22.0969345157
387276,387276,22.3684436589,114.1159124904,40.6462151580
387277,387277,22.3684989065,114.1159749950,4.1149777530
387278,387278,22.3684960127,114.1159372443,21.9996842061
387279,387279,22.3685132449,114.1159823391,8.8514785303
387280,387280,22.3685550928,114.1159932715,-6.6210909870
387281,387281,22.3685575231,114.1159654013,1.0651388700
387282,387282,22.3685315350,114.1159418349,13.1992158601
387283,387283,22.3685323847,114.1159422838,12.1807117286
387284,387284,22.3685330059,114.1159245922,9.0939214708
387285,387285,22.3685399916,114.1159307641,19.0087768498
387286,387286,22.3685770039,114.1158097708,-52.8073206502
387287,387287,22.3685461134,114.1159094770,-8.2039699583
387288,387288,22.3685398022,114.1158577625,0.1367596320
387289,387289,22.3685313366,114.1158959215,-8.4754996932
387290,387290,22.3685012809,114.1158779939,-30.2081650202
387291,387291,22.3685426823,114.1159701556,-5.7136037489
387292,387292,22.3685600933,114.1159082735,2.5648863072
387293,387293,22.3685834636,114.1158564493,-3.5568564411
387294,387294,22.3685669031,114.1159164762,5.9399599208
387295,387295,22.3685474669,114.1159692218,-6.3596946462
387296,387296,22.3684425994,114.1159511575,15.0051880589
387297,387297,22.3684251707,114.1159578931,20.2040689433
387298,387298,22.3685047702,114.1159198946,-26.4810699239
387299,387299,22.3685047168,114.1159027690,-27.0391593066
387300,387300,22.3685173197,114.1159091243,-24.1295893309
387301,387301,22.3685310970,114.1159796921,14.8326139088
387302,387302,22.3685291088,114.1158579222,-16.7570470249
387303,387303,22.3684306219,114.1159443356,58.2541952337
387304,387304,22.3685082348,114.1159210879,32.0722952148
387305,387305,22.3685267498,114.1159253717,13.2893233658
387306,387306,22.3685243979,114.1159373939,3.6306810969
387307,387307,22.3685006374,114.1159484260,20.4498900383
387308,387308,22.3685116438,114.1159743193,4.1717963218
387309,387309,22.3685351716,114.1159799794,-2.5778654389
387310,387310,22.3685135403,114.1159531408,1.1791098903
387311,387311,22.3685240465,114.1159270076,-6.9191007744
387312,387312,22.3685239411,114.1159325530,-9.4843643636
387313,387313,22.3685087989,114.1159117795,1.1257730934
387314,387314,22.3685033480,114.1159039264,-1.9748151714
387315,387315,22.3685048807,114.1159607633,-3.7086715783
387316,387316,22.3685306205,114.1158851794,-46.0400767452
387317,387317,22.3685247407,114.1159444642,-6.9920072919
387318,387318,22.3685220113,114.1159121427,1.6666097677
387319,387319,22.3685326402,114.1159061153,-8.7922548450
387320,387320,22.3685409852,114.1158853274,-16.0750749322
387321,387321,22.3685712670,114.1158534578,-68.8932768292
387322,387322,22.3685085463,114.1157504840,-55.2518674145
387323,387323,22.3685309094,114.1158099048,-37.3630934531
387324,387324,22.3685017792,114.1158731804,-3.6163751972
387325,387325,22.3684994663,114.1158226376,-3.4565371549
387326,387326,22.3685028843,114.1158437930,-22.0750116684
387327,387327,22.3684930228,114.1159246924,28.6501795854
387328,387328,22.3685060145,114.1159058895,34.4343074005
387329,387329,22.3685249995,114.1159276299,38.7760858460
